"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2012', 'Quantity')","('May 2012', 'CIF (Baht)')","('Jan - May 2012', 'Quantity')","('Jan - May 2012', 'CIF (Baht)')"
CN,CHINA,17074,4462116,63719,15460541
DE,GERMANY,0,0,152492,9581717
IL,ISRAEL,11200,875183,36580,2888076
JP,JAPAN,46273,5250259,187762,21462151
KR,"KOREA,REPUBLIC OF",0,0,10,5000
MY,MALAYSIA,33000,1637248,947000,45366643
NL,NETHERLANDS,10950,810755,110050,7071583
QA,QATAR,0,0,204000,8561921
SA,SAUDI ARABIA,0,0,222750,8901033
SG,SINGAPORE,49500,2246888,91750,3888795
TW,"TAIWAN, PROVINCE OF CHINA",0,0,332000,10058211
US,UNITED STATES,121000,5313414,240072,13262956
SUM,SUM,288997,20595863,2588185,146508627
