"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2018', 'Quantity')","('Aug 2018', 'CIF (Baht)')","('Jan - Aug 2018', 'Quantity')","('Jan - Aug 2018', 'CIF (Baht)')"
BE,BELGIUM,0,0,40,4269
BR,BRAZIL,0,0,27,16784
CN,CHINA,0,0,4817,405872
FR,FRANCE,2000,477764,9000,2112345
DE,GERMANY,26,7608,26,7608
IN,INDIA,0,0,112051,2563315
IL,ISRAEL,0,0,60000,4152136
IT,ITALY,10000,717650,21250,1509953
JP,JAPAN,18100,3075242,185458,26529112
KR,"KOREA,REPUBLIC OF",62500,4868807,722675,40883856
MY,MALAYSIA,0,0,2517,273797
QA,QATAR,34000,1402913,119000,4862028
SG,SINGAPORE,108,7891,108,7891
SK,SLOVAKIA,0,0,100,30222
TW,"TAIWAN, PROVINCE OF CHINA",0,0,1009,39485
GB,UNITED KINGDOM,575,158068,1275,354460
SUM,SUM,127309,10715943,1239353,83753133
