"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2014', 'Quantity')","('Aug 2014', 'CIF (Baht)')","('Jan - Aug 2014', 'Quantity')","('Jan - Aug 2014', 'CIF (Baht)')"
AT,AUSTRIA,0,0,11175,782386
BE,BELGIUM,1000,217020,160500,10269613
BR,BRAZIL,0,0,150,169050
CA,CANADA,0,0,500,126788
CN,CHINA,115665,6459707,664660,40069813
CZ,CZECH REPUBLIC,50,8814,50,8814
DK,DENMARK,0,0,0,1128
FI,FINLAND,123750,8258291,553850,36929160
FR,FRANCE,0,0,50,17815
DE,GERMANY,22165,2285652,981736,86773526
HK,HONG KONG,0,0,1500,901667
IN,INDIA,0,0,104000,5385262
ID,INDONESIA,0,0,15925,6092396
IT,ITALY,0,0,60,60304
JP,JAPAN,460977,35993010,3076445,255243683
KR,"KOREA,REPUBLIC OF",289001,18482055,2422907,153491975
KW,KUWAIT,346500,17691803,2920500,147864194
LU,LUXEMBOURG,0,0,24,15449
MY,MALAYSIA,2569867,138077085,21172399,1170794209
NL,NETHERLANDS,175610,13484246,1697315,130250281
NZ,NEW ZEALAND,32000,838021,320050,8518087
QA,QATAR,790500,40633204,4335000,231346850
SA,SAUDI ARABIA,3350250,175063343,21957925,1155441369
SG,SINGAPORE,1763370,99157931,16532578,950333267
ES,SPAIN,41000,4564983,1458000,164182589
SE,SWEDEN,0,0,3100,308127
CH,SWITZERLAND,2450,500530,28095,6631786
TW,"TAIWAN, PROVINCE OF CHINA",1050,184439,21802,2234903
TH,THAILAND,0,0,28300,1562319
AE,UNITED ARAB EMIRATES,37500,2197717,116900,6560774
GB,UNITED KINGDOM,100,64167,40101,2731696
US,UNITED STATES,63627,6071127,2109274,151302185
VN,VIETNAM,6050,827785,27095,3827524
SUM,SUM,10192482,571060930,80761966,4730228989
