"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2023', 'Quantity')","('Mar 2023', 'CIF (Baht)')","('Jan - Mar 2023', 'Quantity')","('Jan - Mar 2023', 'CIF (Baht)')"
BE,BELGIUM,0,0,3,1354
CN,CHINA,0,0,25522,1900501
FR,FRANCE,13750,2036631,14260,2215263
DE,GERMANY,701,166656,1401,325691
IN,INDIA,100040,5629333,187780,10320901
IT,ITALY,500,128551,1000,258920
JP,JAPAN,54624,4447927,144532,11339753
KR,"KOREA,REPUBLIC OF",438688,28949754,784638,51133839
SG,SINGAPORE,1360,412551,1360,412551
AE,UNITED ARAB EMIRATES,7,3849,15,8068
US,UNITED STATES,22,15368,4025,830766
SUM,SUM,609692,41790620,1164536,78747607
