"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2016', 'Quantity')","('Jul 2016', 'CIF (Baht)')","('Jan - Jul 2016', 'Quantity')","('Jan - Jul 2016', 'CIF (Baht)')"
BE,BELGIUM,0,0,48000,5006612
CN,CHINA,127500,9183246,489500,32735965
HK,HONG KONG,6490,539842,282855,16099064
IT,ITALY,0,0,19170,3596068
JP,JAPAN,0,0,775,164603
KR,"KOREA,REPUBLIC OF",116308,7565453,1300463,84432503
MY,MALAYSIA,10000,686328,89000,6275579
SG,SINGAPORE,83186,5092989,308841,19199218
SE,SWEDEN,0,0,75750,6809939
TW,"TAIWAN, PROVINCE OF CHINA",0,0,589,55473
AE,UNITED ARAB EMIRATES,50700,2324206,330200,15202695
GB,UNITED KINGDOM,0,0,12150,1424474
US,UNITED STATES,0,0,203622,22595334
VN,VIETNAM,64000,3624548,200000,11435559
SUM,SUM,458184,29016612,3360915,225033086
