"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2017', 'Quantity')","('Jul 2017', 'CIF (Baht)')","('Jan - Jul 2017', 'Quantity')","('Jan - Jul 2017', 'CIF (Baht)')"
BE,BELGIUM,12000,1167646,12000,1167646
FR,FRANCE,0,0,4125,229556
JP,JAPAN,0,0,3703,463785
KR,"KOREA,REPUBLIC OF",0,0,24400,1180375
MY,MALAYSIA,175000,6670433,175000,6670433
SA,SAUDI ARABIA,0,0,123575,4950567
SG,SINGAPORE,1008053,39748900,5399053,223532811
SE,SWEDEN,0,0,1375,90457
TH,THAILAND,0,0,200,1265
AE,UNITED ARAB EMIRATES,24700,1129178,234000,10815322
GB,UNITED KINGDOM,0,0,2000,240668
US,UNITED STATES,156533,10383599,514276,35663549
SUM,SUM,1376286,59099756,6493707,285006434
