"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2018', 'Quantity')","('Jun 2018', 'CIF (Baht)')","('Jan - Jun 2018', 'Quantity')","('Jan - Jun 2018', 'CIF (Baht)')"
BE,BELGIUM,0,0,40,4269
BR,BRAZIL,0,0,27,16784
CN,CHINA,11,3709,4817,405872
FR,FRANCE,1500,429512,5500,1321585
IN,INDIA,0,0,112001,2551946
IL,ISRAEL,24000,1659129,36000,2465206
IT,ITALY,8750,611829,11250,792303
JP,JAPAN,28900,2461658,156629,20632299
KR,"KOREA,REPUBLIC OF",201675,9599532,516175,26301599
MY,MALAYSIA,0,0,2517,273797
QA,QATAR,17000,697441,85000,3459115
SK,SLOVAKIA,100,30222,100,30222
TW,"TAIWAN, PROVINCE OF CHINA",1000,19653,1009,39485
GB,UNITED KINGDOM,0,0,700,196392
SUM,SUM,282936,15512685,931765,58490874
