"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2014', 'Quantity')","('Mar 2014', 'CIF (Baht)')","('Jan - Mar 2014', 'Quantity')","('Jan - Mar 2014', 'CIF (Baht)')"
CN,CHINA,33000,1988733,51000,3112838
IN,INDIA,200,19655,225,21739
IL,ISRAEL,22400,1899951,44800,3820004
JP,JAPAN,8125,528183,24475,1764486
KR,"KOREA,REPUBLIC OF",500,42409,36500,2017171
MY,MALAYSIA,20066,501586,20066,501586
NL,NETHERLANDS,50,51216,50,51216
SG,SINGAPORE,0,0,60,82836
TW,"TAIWAN, PROVINCE OF CHINA",0,0,10000,1093825
US,UNITED STATES,9072,2781967,18144,5596075
SUM,SUM,93413,7813700,205320,18061776
