"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2021', 'Quantity')","('Mar 2021', 'CIF (Baht)')","('Jan - Mar 2021', 'Quantity')","('Jan - Mar 2021', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,116,29711
BE,BELGIUM,133760,6912209,398010,17136274
BR,BRAZIL,304625,23085192,831250,61061671
CA,CANADA,0,0,5080,291804
CN,CHINA,31010,1688500,142236,9925288
FR,FRANCE,0,0,77000,3134746
DE,GERMANY,188055,16045600,407595,38444580
ID,INDONESIA,1000,37597,3075,183270
IT,ITALY,151745,7293070,490570,20696601
JP,JAPAN,1171936,54411058,3487142,159451126
KR,"KOREA,REPUBLIC OF",574000,20963723,2989850,104176449
KW,KUWAIT,247500,7967833,792000,24718050
MY,MALAYSIA,595000,19099540,1255125,40254043
NL,NETHERLANDS,0,0,500,136712
PH,PHILIPPINES,2,1781,2,1781
PT,PORTUGAL,0,0,225,11427
QA,QATAR,2512180,83863948,4234180,138947721
SA,SAUDI ARABIA,1446024,48097954,3967504,127969624
SG,SINGAPORE,1886720,69102637,5498330,197463945
CH,SWITZERLAND,11000,499218,11000,499218
TW,"TAIWAN, PROVINCE OF CHINA",22000,987229,359800,15484794
AE,UNITED ARAB EMIRATES,1283625,46985255,3659625,124170791
US,UNITED STATES,2399119,90685272,5590303,207873294
VN,VIETNAM,50,7453,50,7453
SUM,SUM,12959351,497735069,34200568,1292070373
