"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2013', 'Quantity')","('Jan 2013', 'CIF (Baht)')","('Jan - Jan 2013', 'Quantity')","('Jan - Jan 2013', 'CIF (Baht)')"
AU,AUSTRALIA,16250,919580,16250,919580
BE,BELGIUM,4000,769640,4000,769640
CA,CANADA,8000,1319388,8000,1319388
CN,CHINA,98500,10431952,98500,10431952
FR,FRANCE,3920,1205812,3920,1205812
DE,GERMANY,14280,1442280,14280,1442280
IN,INDIA,500,40596,500,40596
JP,JAPAN,1702189,114962795,1702189,114962795
KR,"KOREA,REPUBLIC OF",1039000,51523987,1039000,51523987
MY,MALAYSIA,45375,2212455,45375,2212455
NL,NETHERLANDS,148500,9768096,148500,9768096
SA,SAUDI ARABIA,173250,7840268,173250,7840268
SG,SINGAPORE,5959650,299825603,5959650,299825603
TW,"TAIWAN, PROVINCE OF CHINA",276930,15653669,276930,15653669
TH,THAILAND,17000,820856,17000,820856
AE,UNITED ARAB EMIRATES,74250,3283852,74250,3283852
GB,UNITED KINGDOM,15000,1451027,15000,1451027
US,UNITED STATES,42600,3229049,42600,3229049
VN,VIETNAM,5000,3069575,5000,3069575
SUM,SUM,9644194,529770480,9644194,529770480
