"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2016', 'Quantity')","('May 2016', 'CIF (Baht)')","('Jan - May 2016', 'Quantity')","('Jan - May 2016', 'CIF (Baht)')"
AU,AUSTRALIA,3750,171892,4841,577599
AT,AUSTRIA,20,24547,220,156625
BE,BELGIUM,254940,13413222,865649,42960764
BZ,BELIZE,60,39660,60,39660
BR,BRAZIL,3000,475787,3500,893625
CN,CHINA,981599,55551729,4834034,262625813
CZ,CZECH REPUBLIC,0,0,30,47985
FI,FINLAND,23375,1441333,77241,4882429
FR,FRANCE,45100,1454846,137610,6717006
DE,GERMANY,9892,3052062,43655,12611728
HK,HONG KONG,10,1850,213,136795
IN,INDIA,290410,9034977,2384469,80479391
ID,INDONESIA,20110,1438292,140576,15317543
IL,ISRAEL,24000,1670280,90000,6665983
IT,ITALY,74267,6665941,82928,7675954
JP,JAPAN,1039675,72255095,7563947,486913043
KR,"KOREA,REPUBLIC OF",1961175,88726099,7808278,366210317
KW,KUWAIT,0,0,50,17832
MY,MALAYSIA,83128,11294470,596988,67929611
NL,NETHERLANDS,0,0,246125,23030056
NZ,NEW ZEALAND,0,0,240,317592
PH,PHILIPPINES,0,0,104,23921
QA,QATAR,0,0,16500,695900
SA,SAUDI ARABIA,3825340,138514774,23651446,792942734
SG,SINGAPORE,1127365,66125578,8397925,420140880
ZA,SOUTH AFRICA,99000,3340560,297000,10249981
ES,SPAIN,0,0,100,7159
SE,SWEDEN,0,0,25000,956625
TW,"TAIWAN, PROVINCE OF CHINA",56120,2442026,287580,14274243
TH,THAILAND,12325,615160,21575,956773
TR,TÜRKIYE,20,45169,1035,140010
AE,UNITED ARAB EMIRATES,188675,7149637,1047825,39527154
GB,UNITED KINGDOM,0,0,1800,99002
US,UNITED STATES,17513,1698024,279765,25581278
VN,VIETNAM,2529,466002,110249,4783411
SUM,SUM,10143398,487109012,59018558,2696586422
