"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2019', 'Quantity')","('Jul 2019', 'CIF (Baht)')","('Jan - Jul 2019', 'Quantity')","('Jan - Jul 2019', 'CIF (Baht)')"
CN,CHINA,3000,295156,51450,3421372
JP,JAPAN,12152,1098359,98002,6951462
KP,KOREA DPR,50,12505,50,12505
KR,"KOREA,REPUBLIC OF",23057,1561132,23207,1608623
NL,NETHERLANDS,20000,864915,282000,12524624
SA,SAUDI ARABIA,222750,7699929,717750,25641791
SG,SINGAPORE,2119715,96672806,12211335,564251274
ES,SPAIN,91850,4376179,517270,28715086
AE,UNITED ARAB EMIRATES,259200,8694045,1987975,71292622
US,UNITED STATES,431283,16901548,833923,40484199
SUM,SUM,3183057,138176574,16722962,754903558
