"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2020', 'Quantity')","('Dec 2020', 'CIF (Baht)')","('Jan - Dec 2020', 'Quantity')","('Jan - Dec 2020', 'CIF (Baht)')"
AU,AUSTRALIA,3750,200009,15210,863807
AT,AUSTRIA,0,0,427500,20381730
BE,BELGIUM,103090,4255039,5500769,242664122
BR,BRAZIL,0,0,9086,1655049
CA,CANADA,0,0,20400,1984180
CN,CHINA,81158,4661803,1071725,59220893
CZ,CZECH REPUBLIC,4,11685,136,35460
EG,EGYPT,0,0,150,12481
FR,FRANCE,12200,608691,817990,35817606
DE,GERMANY,129480,8127993,1008774,65231633
IN,INDIA,0,0,113,24331
ID,INDONESIA,15300,1565443,211991,19219770
IT,ITALY,500,103867,56755,3711988
JP,JAPAN,1087879,69086858,11406429,740521484
KR,"KOREA,REPUBLIC OF",994325,38269461,12203088,457292779
MY,MALAYSIA,58078,2438737,1044657,46825874
MX,MEXICO,102,71483,102,71483
NL,NETHERLANDS,85250,6131272,869348,54982388
OM,OMAN,0,0,136,57001
SA,SAUDI ARABIA,173250,5304893,1980050,61173962
SG,SINGAPORE,3620391,143775712,38176236,1469634597
ES,SPAIN,100,6401,28425,2336189
SE,SWEDEN,0,0,171,182903
CH,SWITZERLAND,0,0,11000,453569
TW,"TAIWAN, PROVINCE OF CHINA",5225,393149,826969,31279024
TH,THAILAND,0,0,7967,386629
AE,UNITED ARAB EMIRATES,753700,24683551,6113777,189261455
GB,UNITED KINGDOM,0,0,914,383364
US,UNITED STATES,509415,20830231,1353880,64422646
VN,VIETNAM,1000,48713,1336,111306
SUM,SUM,7634197,330574991,83165084,3570199703
