"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2022', 'Quantity')","('Jul 2022', 'CIF (Baht)')","('Jan - Jul 2022', 'Quantity')","('Jan - Jul 2022', 'CIF (Baht)')"
BE,BELGIUM,0,0,11350,1344799
CN,CHINA,300,18552,789750,61593395
JP,JAPAN,139300,13989840,733300,61742398
KR,"KOREA,REPUBLIC OF",44000,3582153,2592000,194324096
MY,MALAYSIA,500,25076,500,25076
AE,UNITED ARAB EMIRATES,84000,7098280,316950,24605871
GB,UNITED KINGDOM,0,0,40550,3684255
US,UNITED STATES,1135401,85288181,2812298,199992310
VN,VIETNAM,35460,2322988,107280,6737205
SUM,SUM,1438961,112325070,7403978,554049405
