"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2013', 'Quantity')","('Jun 2013', 'CIF (Baht)')","('Jan - Jun 2013', 'Quantity')","('Jan - Jun 2013', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,8000,414679
AT,AUSTRIA,750,296479,7925,1378189
BE,BELGIUM,1910,251368,299207,25454195
BR,BRAZIL,0,0,671,116757
CA,CANADA,103000,4623518,310257,15246083
CN,CHINA,338895,12635919,1869273,85091948
FI,FINLAND,0,0,50,53989
FR,FRANCE,200,77468,8050,1371829
DE,GERMANY,307100,24112811,819503,66945181
HK,HONG KONG,13,6469,564,87943
IN,INDIA,0,0,30,5673
ID,INDONESIA,0,0,7,9409
IT,ITALY,0,0,1200,897953
JP,JAPAN,517102,48345109,1954856,206730107
KR,"KOREA,REPUBLIC OF",296320,17133917,3031952,206877863
MY,MALAYSIA,1000,85380,188793,14112541
NL,NETHERLANDS,25950,1604330,79200,5508783
NO,NORWAY,0,0,1,1398
PH,PHILIPPINES,0,0,8925,2204986
QA,QATAR,0,0,297750,12607973
SA,SAUDI ARABIA,1064250,46305144,5057750,220137068
SG,SINGAPORE,1100371,57614708,9956567,525199946
ES,SPAIN,99000,4146121,121000,6252312
SE,SWEDEN,0,0,20000,789305
CH,SWITZERLAND,0,0,2240,374307
TW,"TAIWAN, PROVINCE OF CHINA",171425,8581449,1030806,56262064
TH,THAILAND,0,0,8850,514556
AE,UNITED ARAB EMIRATES,148750,7301859,1696700,75128849
GB,UNITED KINGDOM,1375,237701,5750,1108342
US,UNITED STATES,1191128,87216476,7105340,604550931
VN,VIETNAM,10600,943534,50400,4327148
VG,VIRGIN ISLANDS (BRITISH),0,0,137,141409
SUM,SUM,5379139,321519760,33941754,2139903716
