"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2023', 'Quantity')","('Feb 2023', 'CIF (Baht)')","('Jan - Feb 2023', 'Quantity')","('Jan - Feb 2023', 'CIF (Baht)')"
BE,BELGIUM,79750,7076394,103513,8280505
BR,BRAZIL,11000,1272575,11000,1272575
CN,CHINA,149559,8232386,496266,22088383
DE,GERMANY,961,273268,10961,1551891
HK,HONG KONG,156,33784,390,107506
IN,INDIA,14000,1480815,14050,1751188
ID,INDONESIA,2500,233030,2500,233030
JP,JAPAN,897097,61112049,1800897,131937760
KR,"KOREA,REPUBLIC OF",482927,29029763,1629777,125786676
MY,MALAYSIA,91102,5777802,107192,7765374
NL,NETHERLANDS,940,196040,35273,1556765
SA,SAUDI ARABIA,49500,1947040,148500,6806481
ES,SPAIN,13149,314505,13149,314505
TW,"TAIWAN, PROVINCE OF CHINA",2234010,126079419,3610010,226496850
US,UNITED STATES,2502,191598,33520,3790526
VN,VIETNAM,0,0,20125,714568
SUM,SUM,4029153,243250468,8037123,540454583
