"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2020', 'Quantity')","('Oct 2020', 'CIF (Baht)')","('Jan - Oct 2020', 'Quantity')","('Jan - Oct 2020', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,11460,663798
AT,AUSTRIA,0,0,427500,20381730
BE,BELGIUM,252080,9930638,5326399,235397546
BR,BRAZIL,0,0,9086,1655049
CN,CHINA,158500,7895911,843915,46527816
CZ,CZECH REPUBLIC,0,0,132,23775
EG,EGYPT,0,0,150,12481
FR,FRANCE,100,18585,805790,35208915
DE,GERMANY,0,0,781275,50940743
IN,INDIA,0,0,113,24331
ID,INDONESIA,12000,1048746,192786,17237856
IT,ITALY,54,20936,56255,3608121
JP,JAPAN,843509,56689611,9214644,605896597
KR,"KOREA,REPUBLIC OF",1025750,39733293,10225888,380166294
MY,MALAYSIA,33197,3406934,889654,39329233
NL,NETHERLANDS,27500,1378662,695698,44522783
SA,SAUDI ARABIA,222750,6994751,1608800,49346123
SG,SINGAPORE,3985305,152268603,30958367,1186497755
ES,SPAIN,11000,880820,28325,2329788
SE,SWEDEN,0,0,171,182903
CH,SWITZERLAND,0,0,11000,453569
TW,"TAIWAN, PROVINCE OF CHINA",18500,771543,801744,30017368
TH,THAILAND,0,0,1955,147375
AE,UNITED ARAB EMIRATES,149000,4654611,4779827,145882584
GB,UNITED KINGDOM,0,0,114,71618
US,UNITED STATES,312062,10550650,844324,43345563
VN,VIETNAM,10,3053,336,62593
SUM,SUM,7051317,296247347,68515708,2939934307
