"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2014', 'Quantity')","('Nov 2014', 'CIF (Baht)')","('Jan - Nov 2014', 'Quantity')","('Jan - Nov 2014', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,150,49408
AT,AUSTRIA,0,0,371250,19075694
BE,BELGIUM,0,0,409425,24219358
BR,BRAZIL,0,0,200,58427
CA,CANADA,0,0,68750,4013248
CN,CHINA,40800,2150563,322950,23897508
DE,GERMANY,0,0,2750,305561
ID,INDONESIA,0,0,250990,22757632
IL,ISRAEL,0,0,8500,814417
JP,JAPAN,648790,39521805,5511797,364428408
KR,"KOREA,REPUBLIC OF",0,0,22400,1373811
KW,KUWAIT,123750,6268372,1361250,68861327
MY,MALAYSIA,1187000,64236078,11698825,637015689
MX,MEXICO,0,0,200,305765
NL,NETHERLANDS,24750,1449947,303750,18239113
QA,QATAR,0,0,1504500,75685850
SA,SAUDI ARABIA,2450250,125648576,25095371,1288381780
SG,SINGAPORE,49500,2764512,2306500,125671523
ES,SPAIN,42750,3515282,67500,5015640
AE,UNITED ARAB EMIRATES,49500,2539494,3487925,185391715
GB,UNITED KINGDOM,0,0,0,1967
US,UNITED STATES,184850,13503085,1612208,118997379
SUM,SUM,4801940,261597714,54407191,2984561220
