"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2022', 'Quantity')","('Aug 2022', 'CIF (Baht)')","('Jan - Aug 2022', 'Quantity')","('Jan - Aug 2022', 'CIF (Baht)')"
BD,BANGLADESH,0,0,37,6760
BE,BELGIUM,48125,6091550,438975,40480757
BR,BRAZIL,0,0,11050,1327433
CA,CANADA,34550,1477524,34575,1493945
CN,CHINA,219676,9353910,1769842,77235666
DE,GERMANY,0,0,10318,1415804
HK,HONG KONG,0,0,42,7706
IN,INDIA,50,48848,115,76058
IT,ITALY,13750,2359951,84801,12163368
JP,JAPAN,263862,29399520,3106250,325077221
KR,"KOREA,REPUBLIC OF",2357258,298475911,7516736,849126850
MY,MALAYSIA,73190,4479496,377540,23172330
NL,NETHERLANDS,0,0,73250,7513841
QA,QATAR,0,0,17000,961649
SA,SAUDI ARABIA,99000,11387232,816750,83017992
ES,SPAIN,0,0,53,30228
SE,SWEDEN,0,0,46200,2525812
TW,"TAIWAN, PROVINCE OF CHINA",820200,99662914,8960050,963904971
GB,UNITED KINGDOM,0,0,105500,15816341
US,UNITED STATES,141405,13783164,490832,46789112
VN,VIETNAM,20000,748048,217190,8826717
SUM,SUM,4091066,477268068,24077106,2460970561
