"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2013', 'Quantity')","('May 2013', 'CIF (Baht)')","('Jan - May 2013', 'Quantity')","('Jan - May 2013', 'CIF (Baht)')"
BR,BRAZIL,0,0,1600,234323
CN,CHINA,2000,199076,2900,305130
FR,FRANCE,2672,581886,13191,2365747
DE,GERMANY,10,2700,10313,3074914
IN,INDIA,0,0,15,2451
JP,JAPAN,90260,6208138,172049,14892302
KR,"KOREA,REPUBLIC OF",254920,16099012,1053865,63929329
MY,MALAYSIA,0,0,0,2500
RU,RUSSIAN FEDERATION,3375,649625,6750,1340706
TW,"TAIWAN, PROVINCE OF CHINA",0,0,0,5800
US,UNITED STATES,4,2569,1636,659193
SUM,SUM,353241,23743006,1262319,86812395
