"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2015', 'Quantity')","('May 2015', 'CIF (Baht)')","('Jan - May 2015', 'Quantity')","('Jan - May 2015', 'CIF (Baht)')"
AT,AUSTRIA,0,0,37125,2371821
BE,BELGIUM,45650,2763880,450070,33803890
BR,BRAZIL,0,0,50,29203
CA,CANADA,0,0,77760,2630712
CN,CHINA,22700,2122810,170151,12311241
CZ,CZECH REPUBLIC,50,9278,50,9278
EG,EGYPT,0,0,250,15642
FI,FINLAND,74250,3688037,343500,17694774
DE,GERMANY,214214,13292598,971391,62516278
HK,HONG KONG,0,0,24750,942978
IN,INDIA,0,0,1,165
ID,INDONESIA,4350,1232679,10420,3687249
IT,ITALY,0,0,12830,456310
JP,JAPAN,329605,20714046,2159802,147709983
KR,"KOREA,REPUBLIC OF",308550,15970403,1333765,78919219
KW,KUWAIT,272250,11252369,1658250,67042443
MY,MALAYSIA,1599116,71201947,9233426,399062562
NL,NETHERLANDS,256570,13383878,1189820,65218567
QA,QATAR,790500,32774495,2575500,103181251
SA,SAUDI ARABIA,2406150,106902902,12431750,520118147
SG,SINGAPORE,1890950,86996923,10470582,482352621
ES,SPAIN,0,0,164000,16173013
LK,SRI LANKA,29,5312,29,5312
SE,SWEDEN,0,0,9625,630146
CH,SWITZERLAND,0,0,36690,7292786
TW,"TAIWAN, PROVINCE OF CHINA",1000,223032,27575,1961782
AE,UNITED ARAB EMIRATES,148500,6425883,1069292,43293681
GB,UNITED KINGDOM,0,1,29199,1226280
US,UNITED STATES,121572,14038431,506482,46163913
VN,VIETNAM,0,0,24175,2601433
SUM,SUM,8486006,402998904,45018310,2119422680
