"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2016', 'Quantity')","('Dec 2016', 'CIF (Baht)')","('Jan - Dec 2016', 'Quantity')","('Jan - Dec 2016', 'CIF (Baht)')"
AT,AUSTRIA,6000,601831,20827,2717255
BD,BANGLADESH,0,0,27,8964
BE,BELGIUM,72150,7029921,853400,71821404
BR,BRAZIL,50,21412,100,43708
KH,CAMBODIA,21000,207979,21020,212761
CA,CANADA,4800,1182838,45825,12163139
CN,CHINA,565817,22635424,5732182,262053812
EG,EGYPT,300,13728,2114,206853
FR,FRANCE,510,87547,56935,5500638
DE,GERMANY,80710,6079485,893515,61307780
HK,HONG KONG,0,0,464,323029
IN,INDIA,0,0,197769,11597290
ID,INDONESIA,0,0,244,202015
IL,ISRAEL,0,0,9600,772042
IT,ITALY,0,0,23365,7674677
JP,JAPAN,244410,28056492,4735495,517785092
KR,"KOREA,REPUBLIC OF",125575,6735138,2345216,114631447
LU,LUXEMBOURG,0,0,1500,511377
MY,MALAYSIA,20525,1250949,611698,37921476
NL,NETHERLANDS,0,0,41036,5692456
NZ,NEW ZEALAND,0,0,1700,438589
PH,PHILIPPINES,0,0,1100,8710
PT,PORTUGAL,100,102289,100,102289
QA,QATAR,408000,16774542,5329500,216491522
SA,SAUDI ARABIA,259650,11469558,7234450,305048268
SG,SINGAPORE,1384987,82661780,24708249,1311214841
ES,SPAIN,500,53320,370791,28459443
CH,SWITZERLAND,0,0,10064,1167301
TW,"TAIWAN, PROVINCE OF CHINA",110500,6109251,1587827,81409463
TH,THAILAND,50,12447,19191,1254518
UG,UGANDA,0,0,1905,330681
UA,UKRAINE,6000,728061,190050,9709148
AE,UNITED ARAB EMIRATES,49500,2119944,4226750,171552949
GB,UNITED KINGDOM,4500,1086738,17005,4318920
US,UNITED STATES,575993,51134024,6847310,689535507
VN,VIETNAM,121225,3141574,133160,3856461
SUM,SUM,4062852,249296272,66271484,3938045825
