"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2014', 'Quantity')","('Aug 2014', 'CIF (Baht)')","('Jan - Aug 2014', 'Quantity')","('Jan - Aug 2014', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,8740,852448
AT,AUSTRIA,800,361391,58970,4832511
BE,BELGIUM,1375,82494,170001,13262586
CA,CANADA,100750,5455366,732108,40042832
CN,CHINA,413652,17148177,3165079,146984675
DK,DENMARK,0,0,1,11308
FI,FINLAND,0,0,49500,3315974
FR,FRANCE,0,0,14700,1733192
DE,GERMANY,4200,1652574,729565,60663859
GR,GREECE,0,0,1375,140165
HK,HONG KONG,0,0,79111,1224486
IN,INDIA,9050,860469,41061,3498630
ID,INDONESIA,0,0,33,8469
IT,ITALY,1497,225152,3002,930343
JP,JAPAN,459025,48922970,3044878,342952814
KR,"KOREA,REPUBLIC OF",225900,14781347,1430341,101739517
LU,LUXEMBOURG,0,0,75,15934
MY,MALAYSIA,20721,1697019,342335,27539558
NL,NETHERLANDS,8000,1372093,59425,5180816
PH,PHILIPPINES,750,56815,2250,147463
QA,QATAR,306000,15666846,1887000,95922837
SA,SAUDI ARABIA,80030,4267832,4138580,211681799
SG,SINGAPORE,2763157,159346971,14251042,836537068
ES,SPAIN,24750,1270506,46750,2008920
LK,SRI LANKA,0,0,1,146
SE,SWEDEN,0,0,60000,2902119
CH,SWITZERLAND,0,0,0,3776
TW,"TAIWAN, PROVINCE OF CHINA",85560,5530931,903839,56763675
TH,THAILAND,0,0,12250,1688634
AE,UNITED ARAB EMIRATES,383250,20820023,2078954,112361459
GB,UNITED KINGDOM,200,169727,5220,1046286
US,UNITED STATES,867391,76634278,8634330,694687650
VN,VIETNAM,21350,1819022,96225,8176886
SUM,SUM,5777408,378142003,42046741,2778858835
