"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2021', 'Quantity')","('Jul 2021', 'CIF (Baht)')","('Jan - Jul 2021', 'Quantity')","('Jan - Jul 2021', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,616,55903
AT,AUSTRIA,0,0,40,48809
BE,BELGIUM,127270,7115186,830620,44321782
BR,BRAZIL,475750,37947690,2276875,179151053
CA,CANADA,0,0,27080,1470949
CN,CHINA,101524,5875422,451315,27638205
FI,FINLAND,0,0,150,12589
FR,FRANCE,61875,5172333,193875,11239102
DE,GERMANY,40933,10094024,688119,80256744
IN,INDIA,0,0,15000,796277
ID,INDONESIA,60000,2473981,173110,7185271
IT,ITALY,95575,7074315,1168600,59055144
JP,JAPAN,872622,46779511,7230823,346754917
KR,"KOREA,REPUBLIC OF",868200,33125817,6956051,262563615
KW,KUWAIT,173250,6405104,1485000,50825174
MY,MALAYSIA,297500,10878107,2867150,103296171
NL,NETHERLANDS,0,0,975,216248
NO,NORWAY,10,2974,18,5448
OM,OMAN,173550,5779360,247800,8604972
PH,PHILIPPINES,0,0,27,8321
PT,PORTUGAL,0,0,225,11427
QA,QATAR,2034720,81536734,11116680,415424837
SA,SAUDI ARABIA,1813130,67823671,9317844,331005358
SG,SINGAPORE,2185690,88858691,13754870,540196552
ZA,SOUTH AFRICA,25,4508,25,4508
CH,SWITZERLAND,0,0,11000,499218
TW,"TAIWAN, PROVINCE OF CHINA",133000,6220399,1258100,58366036
TH,THAILAND,0,0,2,2095
AE,UNITED ARAB EMIRATES,371250,15401956,4971775,179102185
GB,UNITED KINGDOM,2,3605,2,3605
US,UNITED STATES,1019887,52356787,11420938,475797008
VN,VIETNAM,0,0,73,12493
SUM,SUM,10905763,490930175,76464778,3183932016
