"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2021', 'Quantity')","('Oct 2021', 'CIF (Baht)')","('Jan - Oct 2021', 'Quantity')","('Jan - Oct 2021', 'CIF (Baht)')"
AU,AUSTRALIA,20,8182,19086,732362
AT,AUSTRIA,0,0,40,48809
BE,BELGIUM,102580,17329554,1096800,69909724
BR,BRAZIL,207625,22878910,2692700,220538291
CA,CANADA,0,0,27080,1470949
CN,CHINA,20003,1299557,543469,34979361
CZ,CZECH REPUBLIC,1,961,1,961
FI,FINLAND,0,0,150,12589
FR,FRANCE,35750,2100148,289375,16885443
DE,GERMANY,13709,6963015,740768,96106850
IN,INDIA,0,0,15000,796277
ID,INDONESIA,0,0,174110,7227904
IT,ITALY,191760,13339513,1693569,96727224
JP,JAPAN,1043000,56321298,10178559,507026277
KR,"KOREA,REPUBLIC OF",788725,32445012,9797501,378015235
KW,KUWAIT,272250,10545289,2079000,73024045
MY,MALAYSIA,495000,19207242,4217154,154370562
NL,NETHERLANDS,203,10704,14178,1645009
NO,NORWAY,0,0,18,5448
OM,OMAN,247675,9116450,495475,17721422
PH,PHILIPPINES,0,0,27,8321
PT,PORTUGAL,0,0,526,21746
QA,QATAR,2972380,118170361,18036440,689792021
RU,RUSSIAN FEDERATION,0,0,297000,10877923
SA,SAUDI ARABIA,2010130,78367172,14469479,532334577
SG,SINGAPORE,941170,40129989,16861330,669335142
ZA,SOUTH AFRICA,0,0,25,4508
CH,SWITZERLAND,0,0,11000,499218
TW,"TAIWAN, PROVINCE OF CHINA",141052,7055489,1510052,71153551
TH,THAILAND,0,0,27,9818
AE,UNITED ARAB EMIRATES,547450,24890271,6608025,250589573
GB,UNITED KINGDOM,183,15516,185,19121
US,UNITED STATES,716815,35906404,13946710,611638360
VN,VIETNAM,0,0,373,26549
SUM,SUM,10747481,496101037,105815232,4513555170
