"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2020', 'Quantity')","('Jun 2020', 'CIF (Baht)')","('Jan - Jun 2020', 'Quantity')","('Jan - Jun 2020', 'CIF (Baht)')"
BE,BELGIUM,0,0,7,2851
CN,CHINA,14000,708453,24300,1325792
FR,FRANCE,12375,1284354,42641,4028703
DE,GERMANY,700,111331,2801,461851
IN,INDIA,0,0,85610,3861455
IT,ITALY,0,0,1125,248530
JP,JAPAN,7200,1077900,279815,16215470
KR,"KOREA,REPUBLIC OF",129580,5480386,1384620,65601831
NL,NETHERLANDS,0,5614,0,9256
RU,RUSSIAN FEDERATION,0,0,8250,1291681
US,UNITED STATES,1060,540001,2082,813552
SUM,SUM,164915,9208039,1831251,93860972
