"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2015', 'Quantity')","('Jul 2015', 'CIF (Baht)')","('Jan - Jul 2015', 'Quantity')","('Jan - Jul 2015', 'CIF (Baht)')"
CN,CHINA,5000,419355,95324,7948854
IT,ITALY,13750,2849358,50800,9902806
JP,JAPAN,0,0,3,10919
KR,"KOREA,REPUBLIC OF",147203,9576415,494385,35487453
MY,MALAYSIA,8000,730489,11115,1331198
SG,SINGAPORE,0,0,800,119953
GB,UNITED KINGDOM,0,0,21225,2653048
US,UNITED STATES,0,0,13734,2472054
VN,VIETNAM,1200,324662,2400,639391
SUM,SUM,175153,13900279,689786,60565676
