"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2013', 'Quantity')","('Sept 2013', 'CIF (Baht)')","('Jan - Sept 2013', 'Quantity')","('Jan - Sept 2013', 'CIF (Baht)')"
BE,BELGIUM,15500,1751117,100100,9928087
CA,CANADA,0,0,500,54927
CN,CHINA,48000,2990291,180900,15829757
FR,FRANCE,0,0,23100,2121342
DE,GERMANY,0,161,59903,11511023
IN,INDIA,0,0,6300,657766
IT,ITALY,0,0,15125,3072731
JP,JAPAN,500,163708,21755,2720618
KR,"KOREA,REPUBLIC OF",0,0,168100,13242685
MY,MALAYSIA,1375,347214,8675,1408308
SG,SINGAPORE,25500,1189961,415525,17797281
SE,SWEDEN,0,0,22400,3380533
CH,SWITZERLAND,0,0,0,1757
TH,THAILAND,0,0,800,73317
AE,UNITED ARAB EMIRATES,98800,5139614,505522,24611016
GB,UNITED KINGDOM,0,0,300,27819
US,UNITED STATES,93805,5478834,397143,27532018
VN,VIETNAM,0,0,3000,366806
SUM,SUM,283480,17060900,1929148,134337791
