"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2012', 'Quantity')","('Oct 2012', 'CIF (Baht)')","('Jan - Oct 2012', 'Quantity')","('Jan - Oct 2012', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,14717,905661
AT,AUSTRIA,6000,584101,9000,1831928
BE,BELGIUM,40104,1501715,339718,22869068
CA,CANADA,750,291124,115000,8914428
CN,CHINA,248692,13394652,2437840,127713926
FR,FRANCE,1,576,27721,3312939
DE,GERMANY,55350,4781260,573735,54920611
HK,HONG KONG,0,0,81965,8506484
IN,INDIA,13000,1360647,20000,1993637
ID,INDONESIA,0,0,265,35765
IL,ISRAEL,0,0,24,8578
IT,ITALY,0,0,11500,1455213
JP,JAPAN,306532,42556024,2797243,394896622
KR,"KOREA,REPUBLIC OF",667327,47661756,5879439,433782850
KW,KUWAIT,0,0,74250,2959649
MY,MALAYSIA,14510,1326754,231868,15524403
NL,NETHERLANDS,0,0,199630,13945496
NO,NORWAY,0,0,12,8206
PH,PHILIPPINES,0,0,625,63403
QA,QATAR,127500,5640491,3744750,164223623
RU,RUSSIAN FEDERATION,0,0,1,1253
SA,SAUDI ARABIA,219600,9784760,5310100,227894597
SG,SINGAPORE,1951125,101677711,20222543,1040460920
ES,SPAIN,0,0,42527,3634686
SE,SWEDEN,0,0,34400,1550331
CH,SWITZERLAND,0,0,3800,419548
TW,"TAIWAN, PROVINCE OF CHINA",210250,11454132,1857823,117128657
TH,THAILAND,0,0,2601,103092
AE,UNITED ARAB EMIRATES,618750,26084835,3324400,145726760
GB,UNITED KINGDOM,0,0,35937,6553351
US,UNITED STATES,673982,58620762,10656107,998924003
VN,VIETNAM,100,10988,557955,42396031
SUM,SUM,5153573,326732288,58607496,3842665719
