"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2021', 'Quantity')","('Oct 2021', 'CIF (Baht)')","('Jan - Oct 2021', 'Quantity')","('Jan - Oct 2021', 'CIF (Baht)')"
AT,AUSTRIA,0,0,1961,3009756
BD,BANGLADESH,34,9112,34,9112
BE,BELGIUM,4593,1323554,74635,7641423
BR,BRAZIL,382,153098,5790,2498836
CA,CANADA,0,0,10003,1442793
CN,CHINA,170859,15342965,2523904,160170015
CZ,CZECH REPUBLIC,0,0,2,682
EG,EGYPT,0,0,7,4433
FR,FRANCE,48280,2933600,229931,13833979
DE,GERMANY,200847,17435208,838566,78908639
HK,HONG KONG,0,0,214252,18082071
IN,INDIA,7,1510,1589,467210
ID,INDONESIA,553,226986,25310,2263744
IT,ITALY,0,0,3042,439612
JP,JAPAN,150970,28365521,1835425,305500235
KR,"KOREA,REPUBLIC OF",300200,20342324,3534825,213078727
MY,MALAYSIA,195400,15559456,1098806,86753945
NL,NETHERLANDS,126848,11929333,1087937,98450689
NO,NORWAY,0,0,900,369981
SA,SAUDI ARABIA,168000,7265094,1412750,61323676
SG,SINGAPORE,50,40484,639035,82215496
ZA,SOUTH AFRICA,0,0,0,185
CH,SWITZERLAND,0,0,430,345942
TW,"TAIWAN, PROVINCE OF CHINA",0,0,16708,3588818
TH,THAILAND,0,0,45025,2777963
AE,UNITED ARAB EMIRATES,420750,19891169,4925250,221050504
GB,UNITED KINGDOM,0,0,45200,5962050
US,UNITED STATES,74243,10211069,1383534,221484423
VN,VIETNAM,4000,366130,118631,11519650
SUM,SUM,1866016,151396613,20073482,1603194589
