"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2022', 'Quantity')","('Feb 2022', 'CIF (Baht)')","('Jan - Feb 2022', 'Quantity')","('Jan - Feb 2022', 'CIF (Baht)')"
CN,CHINA,0,0,25500,2022331
FR,FRANCE,0,0,14571,1180493
IN,INDIA,0,0,14000,913499
JP,JAPAN,79670,5258122,138164,9230375
KR,"KOREA,REPUBLIC OF",224772,13587061,403372,26486174
MY,MALAYSIA,19550,1276671,19550,1276671
RU,RUSSIAN FEDERATION,8250,1412801,8250,1412801
SG,SINGAPORE,0,0,170,55765
US,UNITED STATES,618,124386,618,124386
SUM,SUM,332860,21659041,624195,42702495
