"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2018', 'Quantity')","('Nov 2018', 'CIF (Baht)')","('Jan - Nov 2018', 'Quantity')","('Jan - Nov 2018', 'CIF (Baht)')"
BE,BELGIUM,0,0,605,226859
CN,CHINA,1875,522044,6040,2505515
DE,GERMANY,0,0,155,51678
HK,HONG KONG,0,0,45,7481
IT,ITALY,0,0,13,11643
JP,JAPAN,14375,2600391,34944,6155721
KR,"KOREA,REPUBLIC OF",0,0,0,5206
NL,NETHERLANDS,0,0,1625,301800
SG,SINGAPORE,7000,2077520,11500,4048126
SE,SWEDEN,0,21799,0,21799
TW,"TAIWAN, PROVINCE OF CHINA",0,0,2145,130793
TH,THAILAND,26800,426556,26800,426556
TR,TÜRKIYE,0,0,30,3019
GB,UNITED KINGDOM,0,0,966,505163
US,UNITED STATES,0,0,138,112491
SUM,SUM,50050,5648310,85006,14513850
