"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2022', 'Quantity')","('Oct 2022', 'CIF (Baht)')","('Jan - Oct 2022', 'Quantity')","('Jan - Oct 2022', 'CIF (Baht)')"
BE,BELGIUM,0,0,25,355
CA,CANADA,100000,4575252,599000,29220447
CN,CHINA,0,0,1411750,68897779
DE,GERMANY,0,0,5500,1407752
JP,JAPAN,23076,3621809,440001,45073659
KR,"KOREA,REPUBLIC OF",435917,43999524,3957736,383581714
LA,LAO PDR,0,0,20000,474907
NL,NETHERLANDS,38450,2295701,633450,41325925
QA,QATAR,51000,2145784,331500,15446889
SA,SAUDI ARABIA,73500,3023893,2195600,108307328
SG,SINGAPORE,1455550,92932662,17012145,1108969195
ES,SPAIN,17600,2393865,391710,45742814
TW,"TAIWAN, PROVINCE OF CHINA",0,0,100,14069
AE,UNITED ARAB EMIRATES,592600,24268128,5674453,274090049
US,UNITED STATES,1938107,91328059,11160335,582079810
VN,VIETNAM,0,0,300,50466
SUM,SUM,4725800,270584677,43833605,2704683158
