"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2016', 'Quantity')","('Jun 2016', 'CIF (Baht)')","('Jan - Jun 2016', 'Quantity')","('Jan - Jun 2016', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,33000,1931846
AT,AUSTRIA,5500,326091,5500,326091
BE,BELGIUM,44200,2632980,741030,39923928
BR,BRAZIL,33500,3241833,119600,11632181
KH,CAMBODIA,0,0,5,1814
CA,CANADA,0,0,19061,1985482
CN,CHINA,53772,2930845,207762,13630986
DK,DENMARK,19,10002,39,20651
EC,ECUADOR,0,0,100,64449
FI,FINLAND,0,0,24750,1586951
DE,GERMANY,975,2636629,34193,22942708
HK,HONG KONG,225,17231,19250,650948
IN,INDIA,0,0,6025,539105
ID,INDONESIA,0,0,33015,1700089
IT,ITALY,41600,2586732,142875,9591774
JP,JAPAN,1590674,77641880,9580720,472936902
KR,"KOREA,REPUBLIC OF",268175,12353819,1119635,49524709
KW,KUWAIT,668250,28727582,3588750,144517062
MY,MALAYSIA,505500,22748144,1242028,55741530
NL,NETHERLANDS,0,0,24750,2203851
NO,NORWAY,0,0,2040,312083
PK,PAKISTAN,0,0,52,7678
QA,QATAR,816000,35517740,4314500,178127379
SA,SAUDI ARABIA,3984750,165025586,21389800,838291575
SG,SINGAPORE,3212260,146496947,17590720,772838699
SE,SWEDEN,0,0,6,3913
CH,SWITZERLAND,0,0,102580,6402159
TW,"TAIWAN, PROVINCE OF CHINA",0,0,220600,8958061
TR,TÜRKIYE,200,19543,5200,485248
AE,UNITED ARAB EMIRATES,775050,32215949,5086125,205882671
US,UNITED STATES,167263,6688126,1634301,80364305
SUM,SUM,12167913,541817659,67288012,2923126828
