"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2019', 'Quantity')","('Aug 2019', 'CIF (Baht)')","('Jan - Aug 2019', 'Quantity')","('Jan - Aug 2019', 'CIF (Baht)')"
AR,ARGENTINA,150,79133,350,163914
AU,AUSTRALIA,0,0,16250,572773
BE,BELGIUM,0,0,354260,20694325
CN,CHINA,229950,13818262,1547511,107842047
CZ,CZECH REPUBLIC,10,3878,10,3878
FI,FINLAND,100,16361,26050,1640498
DE,GERMANY,0,0,6548,1247328
HK,HONG KONG,0,0,400510,4247417
IN,INDIA,1000,103959,5660,503525
ID,INDONESIA,50,30247,5650,579484
IL,ISRAEL,24000,1556585,90304,5942696
JP,JAPAN,561440,31108667,4085533,207429123
KR,"KOREA,REPUBLIC OF",747367,28868049,7112977,308611807
MY,MALAYSIA,68451,6559585,507331,57948935
MX,MEXICO,0,0,19720,2157976
NL,NETHERLANDS,0,0,1,9152
OM,OMAN,0,0,99000,3478727
SA,SAUDI ARABIA,1583750,53574029,9028550,319536835
SG,SINGAPORE,933500,35289969,4126356,175339177
ZA,SOUTH AFRICA,123750,4230237,247500,8566261
CH,SWITZERLAND,0,0,70560,4007329
TW,"TAIWAN, PROVINCE OF CHINA",71850,2719711,638900,27892471
TH,THAILAND,0,96,61445,2235197
UA,UKRAINE,0,0,500,17876
AE,UNITED ARAB EMIRATES,123950,4612687,352800,13596510
GB,UNITED KINGDOM,5,3380,3005,387033
US,UNITED STATES,34111,2819848,286924,20123329
VN,VIETNAM,54000,1843325,712000,30351949
SUM,SUM,4557434,187238008,29806205,1325127572
