"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2013', 'Quantity')","('May 2013', 'CIF (Baht)')","('Jan - May 2013', 'Quantity')","('Jan - May 2013', 'CIF (Baht)')"
AU,AUSTRALIA,150,62402,16400,981982
BE,BELGIUM,5300,861139,68800,7152161
BR,BRAZIL,0,0,18387,2640137
CA,CANADA,8000,1244588,24000,3843400
CN,CHINA,80520,9249255,440642,48202277
FR,FRANCE,10000,1196567,22090,4836683
DE,GERMANY,2500,184303,20566,2482613
HK,HONG KONG,2000,176929,37825,3110442
IN,INDIA,0,0,500,40596
ID,INDONESIA,6250,605309,36683,3603190
IT,ITALY,0,0,5500,651040
JP,JAPAN,1672024,103243215,7895378,511221622
KR,"KOREA,REPUBLIC OF",548100,25937449,3890200,192452864
LU,LUXEMBOURG,0,0,400,182004
MY,MALAYSIA,161000,7314177,526375,24426668
NL,NETHERLANDS,49500,2819187,629250,41096007
NZ,NEW ZEALAND,0,0,80,12140
SA,SAUDI ARABIA,263500,11017278,1228750,55483314
SG,SINGAPORE,5638900,274353231,26080050,1294692675
TW,"TAIWAN, PROVINCE OF CHINA",50000,2537443,1257974,69109791
TH,THAILAND,0,0,17000,820856
AE,UNITED ARAB EMIRATES,134750,5687487,390650,17238314
GB,UNITED KINGDOM,15000,1295185,45000,4082842
US,UNITED STATES,9600,915878,200675,15449104
VN,VIETNAM,0,0,48000,6963672
SUM,SUM,8657094,448701022,42901175,2310776394
