"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2018', 'Quantity')","('Mar 2018', 'CIF (Baht)')","('Jan - Mar 2018', 'Quantity')","('Jan - Mar 2018', 'CIF (Baht)')"
BE,BELGIUM,99000,4487464,148500,6852881
CN,CHINA,20600,1404512,82239,4839746
DE,GERMANY,2750,197921,2755,200484
JP,JAPAN,5975,348854,16775,1190325
MY,MALAYSIA,240,53636,1340,305644
SA,SAUDI ARABIA,0,0,49500,2050083
SG,SINGAPORE,8450,675291,8450,675291
TW,"TAIWAN, PROVINCE OF CHINA",34102,2873284,56102,5620201
US,UNITED STATES,51,40795,951,265977
VN,VIETNAM,1225,4295,1225,4295
SUM,SUM,172393,10086052,367837,22004927
