"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2012', 'Quantity')","('Apr 2012', 'CIF (Baht)')","('Jan - Apr 2012', 'Quantity')","('Jan - Apr 2012', 'CIF (Baht)')"
AU,AUSTRALIA,99025,4444298,402152,18105970
AT,AUSTRIA,0,0,8000,482849
BD,BANGLADESH,0,0,25,3874
BE,BELGIUM,19000,1625393,363335,22917895
BR,BRAZIL,1000,771687,1100,837172
CN,CHINA,548989,38226277,2306128,163160316
FI,FINLAND,0,0,44000,2630352
FR,FRANCE,26750,1663480,196502,11531520
DE,GERMANY,15600,3142092,122666,13888938
HK,HONG KONG,508,55223,2131,801315
IN,INDIA,14500,1461131,62825,5658528
ID,INDONESIA,17725,2223453,64276,5883962
IL,ISRAEL,12000,1315432,12000,1315432
IT,ITALY,1600,214915,10400,1383851
JP,JAPAN,1296908,116495700,4324853,377718599
KR,"KOREA,REPUBLIC OF",1897333,110304780,6924370,392969582
KW,KUWAIT,99000,4402067,123750,5507310
MY,MALAYSIA,162358,13964110,713703,53866691
NL,NETHERLANDS,0,0,268875,23991532
NZ,NEW ZEALAND,0,0,2750,179616
PH,PHILIPPINES,0,0,306000,12879086
PT,PORTUGAL,0,0,2000,65291
QA,QATAR,0,0,16500,741262
SA,SAUDI ARABIA,4814500,219829548,21523000,933121338
SG,SINGAPORE,696136,44680808,2644996,156943635
ES,SPAIN,1375,121172,28875,3117025
TW,"TAIWAN, PROVINCE OF CHINA",30121,2704095,197848,12879518
TH,THAILAND,13300,1018505,13300,1018505
AE,UNITED ARAB EMIRATES,530750,22253474,2819477,118050288
GB,UNITED KINGDOM,300,99534,300,99534
US,UNITED STATES,302742,24812115,1709080,100070285
VN,VIETNAM,17029,1035020,505231,22719140
SUM,SUM,10618549,616864309,45720448,2464540211
