"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2021', 'Quantity')","('Oct 2021', 'CIF (Baht)')","('Jan - Oct 2021', 'Quantity')","('Jan - Oct 2021', 'CIF (Baht)')"
AU,AUSTRALIA,495000,20436839,1485000,63629733
AT,AUSTRIA,2725,236939,18620,1612469
BE,BELGIUM,46380,2864797,559287,29350372
BR,BRAZIL,50000,2358336,99500,4019133
CN,CHINA,462075,32601787,5052613,308252417
CZ,CZECH REPUBLIC,0,0,1,1120
FI,FINLAND,0,0,163625,10842932
DE,GERMANY,13750,1463908,182504,13192552
HK,HONG KONG,0,0,10,2880
HU,HUNGARY,0,0,2750,198459
IN,INDIA,1000,47471,1901880,81789535
ID,INDONESIA,20,2761,215262,17108010
IL,ISRAEL,24000,2166290,132040,10704222
IT,ITALY,0,0,50,7214
JP,JAPAN,516067,35644922,4518954,284109826
KR,"KOREA,REPUBLIC OF",1017700,49467675,11994550,535012099
MY,MALAYSIA,71370,5326406,671983,51703910
NO,NORWAY,0,0,5,1150
OM,OMAN,198000,7612102,2996950,114423619
SA,SAUDI ARABIA,1794000,74580158,20521250,825870695
SG,SINGAPORE,599040,31622714,7542159,363345086
ZA,SOUTH AFRICA,0,0,126329,5767708
ES,SPAIN,11000,1104553,48950,4245437
TW,"TAIWAN, PROVINCE OF CHINA",201250,11388213,1273010,70518096
TH,THAILAND,0,0,418670,18576284
AE,UNITED ARAB EMIRATES,0,0,1401000,61792390
GB,UNITED KINGDOM,0,0,100,25407
US,UNITED STATES,331564,15845981,2389638,110606909
VN,VIETNAM,12,2331,1449815,60873273
SUM,SUM,5834953,294774183,65166505,3047582937
