"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2012', 'Quantity')","('Oct 2012', 'CIF (Baht)')","('Jan - Oct 2012', 'Quantity')","('Jan - Oct 2012', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,156668,7263582
AT,AUSTRIA,0,0,12,104746
BE,BELGIUM,31625,1608629,983220,63181225
BR,BRAZIL,0,0,1050,161706
CA,CANADA,75000,3159939,916160,37868327
CN,CHINA,293000,18070101,3560103,225762560
DK,DENMARK,0,0,1382,1845497
SZ,ESWATINI,0,0,7940,1306524
FI,FINLAND,74250,4830525,915750,59477824
FR,FRANCE,0,0,5504,495387
DE,GERMANY,34874,3399779,399861,40739223
HK,HONG KONG,0,0,289000,28627150
IN,INDIA,0,0,1200,104575
ID,INDONESIA,3074,1249420,136976,10777050
IL,ISRAEL,51280,410240,51294,416215
IT,ITALY,0,0,130,44203
JP,JAPAN,190169,17038298,4264057,349875113
KR,"KOREA,REPUBLIC OF",270000,13566751,2917461,164339355
KW,KUWAIT,519750,21352367,5395600,218648178
LI,LIECHTENSTEIN,0,0,6,11043
MY,MALAYSIA,3649348,160911091,34284448,1543883947
MX,MEXICO,0,0,350000,15363718
NL,NETHERLANDS,4100,432541,753014,60619235
NZ,NEW ZEALAND,15500,371304,128450,4314336
NO,NORWAY,0,0,49500,2800662
QA,QATAR,510000,20768323,3264200,137376676
SA,SAUDI ARABIA,2289550,100180784,20695444,901299946
SG,SINGAPORE,1633788,76578167,18437393,885916559
ES,SPAIN,104000,10685890,975000,99316835
CH,SWITZERLAND,1000,218950,20300,4368078
TW,"TAIWAN, PROVINCE OF CHINA",11000,937138,148996,11138342
AE,UNITED ARAB EMIRATES,271850,11283798,1063850,43951760
GB,UNITED KINGDOM,2000,355161,16234,1157449
US,UNITED STATES,593294,34429894,4163593,231713848
VN,VIETNAM,3770,721035,20270,2139107
SUM,SUM,10632222,502560125,104374066,5156409981
