"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2023', 'Quantity')","('Feb 2023', 'CIF (Baht)')","('Jan - Feb 2023', 'Quantity')","('Jan - Feb 2023', 'CIF (Baht)')"
CA,CANADA,0,0,99000,3965359
CN,CHINA,213000,9164090,289000,14568212
ID,INDONESIA,0,0,24,6971
JP,JAPAN,73500,6449709,123250,11257747
KR,"KOREA,REPUBLIC OF",337775,26907370,763425,66529774
NL,NETHERLANDS,96250,4696788,206250,10219536
QA,QATAR,102000,3202923,204000,6737062
SA,SAUDI ARABIA,172600,6240205,537550,19705173
SG,SINGAPORE,1598605,90583196,3440530,182567460
ES,SPAIN,0,0,17600,2188548
AE,UNITED ARAB EMIRATES,692200,24776393,1756450,64645803
US,UNITED STATES,1692136,68434384,4400311,179428030
VN,VIETNAM,125,6736,125,6736
SUM,SUM,4978191,240461794,11837515,561826411
