"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2020', 'Quantity')","('Jan 2020', 'CIF (Baht)')","('Jan - Jan 2020', 'Quantity')","('Jan - Jan 2020', 'CIF (Baht)')"
AU,AUSTRALIA,50,21659,50,21659
BE,BELGIUM,317600,16244883,317600,16244883
BR,BRAZIL,1362,198618,1362,198618
CN,CHINA,165987,7673708,165987,7673708
CZ,CZECH REPUBLIC,132,23775,132,23775
FR,FRANCE,1440,154386,1440,154386
DE,GERMANY,60760,4546629,60760,4546629
IN,INDIA,27,4617,27,4617
ID,INDONESIA,25292,1949041,25292,1949041
JP,JAPAN,1137543,70188719,1137543,70188719
KR,"KOREA,REPUBLIC OF",639225,24513298,639225,24513298
MY,MALAYSIA,65000,3052033,65000,3052033
NL,NETHERLANDS,49500,3302464,49500,3302464
SA,SAUDI ARABIA,297000,9113360,297000,9113360
SG,SINGAPORE,3132524,118614030,3132524,118614030
ES,SPAIN,6050,512267,6050,512267
SE,SWEDEN,91,169475,91,169475
TW,"TAIWAN, PROVINCE OF CHINA",348700,12569141,348700,12569141
AE,UNITED ARAB EMIRATES,1025750,30821164,1025750,30821164
US,UNITED STATES,3250,624667,3250,624667
SUM,SUM,7277283,304297934,7277283,304297934
