"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2019', 'Quantity')","('Dec 2019', 'CIF (Baht)')","('Jan - Dec 2019', 'Quantity')","('Jan - Dec 2019', 'CIF (Baht)')"
AR,ARGENTINA,0,0,150,31477
AT,AUSTRIA,0,0,18000,1778404
BE,BELGIUM,73500,5440075,956950,78899067
BR,BRAZIL,0,0,50,40144
CA,CANADA,2250,686942,39155,6249887
CN,CHINA,699497,25553527,10301127,365918919
CZ,CZECH REPUBLIC,0,0,208,38500
DK,DENMARK,0,0,4,956
FI,FINLAND,0,0,50,5414
FR,FRANCE,0,0,685,200401
DE,GERMANY,44000,540028,336722,21842681
HK,HONG KONG,24000,294561,256497,8524312
IN,INDIA,0,0,16700,2684423
ID,INDONESIA,300,18792,301,18923
IL,ISRAEL,0,0,20,17567
IT,ITALY,0,0,41474,3603050
JP,JAPAN,734294,51572717,5750116,461504589
KR,"KOREA,REPUBLIC OF",458250,24741605,5828032,325360694
LU,LUXEMBOURG,0,0,12500,854475
MY,MALAYSIA,20470,1139422,575824,25711202
NL,NETHERLANDS,2000,184964,32141,3810499
NO,NORWAY,0,0,3,1998
PH,PHILIPPINES,0,0,25007,235271
QA,QATAR,0,0,179520,5642849
SA,SAUDI ARABIA,0,0,335945,11279838
SG,SINGAPORE,339050,10902308,18798274,737754456
ES,SPAIN,0,0,64650,6567179
SE,SWEDEN,0,0,380000,27517884
CH,SWITZERLAND,0,0,150,10607
TW,"TAIWAN, PROVINCE OF CHINA",16754,625996,110347,7964903
TH,THAILAND,34440,1374486,1562250,33874260
TR,TÜRKIYE,0,0,50750,1507039
UA,UKRAINE,0,0,10,2752
AE,UNITED ARAB EMIRATES,0,0,1146025,44717086
GB,UNITED KINGDOM,2810,982286,64389,5844028
US,UNITED STATES,1698853,74416067,15485301,875471455
VN,VIETNAM,20000,963033,808532,37830564
SUM,SUM,4170468,199436809,63177859,3103317753
