"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2017', 'Quantity')","('Mar 2017', 'CIF (Baht)')","('Jan - Mar 2017', 'Quantity')","('Jan - Mar 2017', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,1000,132429
AT,AUSTRIA,500,156121,1260,406538
BE,BELGIUM,34275,2767978,111025,9736442
CA,CANADA,0,0,1660,529406
CN,CHINA,579138,20570871,1478682,63593710
FR,FRANCE,22000,1857794,24782,2558347
DE,GERMANY,14705,1450447,39281,4162319
HK,HONG KONG,0,0,0,2160
IN,INDIA,25140,1005911,110240,4945843
ID,INDONESIA,0,0,440,20954
IT,ITALY,2600,933024,5450,2037870
JP,JAPAN,226325,37045132,773262,101094368
KR,"KOREA,REPUBLIC OF",371930,17241320,842252,42934830
MY,MALAYSIA,80200,4778421,200860,12105354
NL,NETHERLANDS,0,0,45,61494
NZ,NEW ZEALAND,250,17740,250,17740
QA,QATAR,408000,16810505,1224050,50568561
SA,SAUDI ARABIA,142325,6539247,630575,28172867
SG,SINGAPORE,2135584,109099208,6698109,329273545
ES,SPAIN,12100,886980,42075,3638468
CH,SWITZERLAND,3,11675,3,11675
TW,"TAIWAN, PROVINCE OF CHINA",34523,2320681,201086,12897425
TH,THAILAND,6100,527274,6100,527274
UA,UKRAINE,0,0,24400,1118207
AE,UNITED ARAB EMIRATES,345280,14725736,492760,20477724
GB,UNITED KINGDOM,4700,1247429,6300,1700477
US,UNITED STATES,223368,31812507,835726,105364657
VN,VIETNAM,33,6348,146,28977
SUM,SUM,4669079,271812349,13751819,798119661
