"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2018', 'Quantity')","('Aug 2018', 'CIF (Baht)')","('Jan - Aug 2018', 'Quantity')","('Jan - Aug 2018', 'CIF (Baht)')"
CA,CANADA,0,0,9,32437
CN,CHINA,0,0,5016,343747
DE,GERMANY,0,0,24,22270
IN,INDIA,0,0,208001,8871034
JP,JAPAN,24050,1330925,83341,7456953
KR,"KOREA,REPUBLIC OF",0,0,14000,597783
MY,MALAYSIA,500,190149,1300,491231
NL,NETHERLANDS,0,0,0,5110
NO,NORWAY,0,0,350,20708
SA,SAUDI ARABIA,85250,3441784,492250,19091135
TW,"TAIWAN, PROVINCE OF CHINA",475,12795,18620,1383010
GB,UNITED KINGDOM,0,0,1,12962
US,UNITED STATES,18000,1493530,72013,5706898
SUM,SUM,128275,6469183,894925,44035278
