"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2017', 'Quantity')","('Apr 2017', 'CIF (Baht)')","('Jan - Apr 2017', 'Quantity')","('Jan - Apr 2017', 'CIF (Baht)')"
AT,AUSTRIA,67500,3762959,270000,15164059
BE,BELGIUM,0,0,74350,3682938
CA,CANADA,0,0,4000,724051
CN,CHINA,23375,4449316,102875,14914465
FR,FRANCE,221425,10298575,477550,22026983
DE,GERMANY,2550,335770,17550,2261774
IN,INDIA,512,63507,4099,387712
ID,INDONESIA,8000,880504,109121,12141067
IT,ITALY,0,0,300,29715
JP,JAPAN,907286,59638340,3622972,244103692
KR,"KOREA,REPUBLIC OF",353550,20579254,1045580,55580608
MY,MALAYSIA,0,0,11575,531470
MX,MEXICO,265,165166,545,339250
NL,NETHERLANDS,147125,10120193,305250,21201332
PH,PHILIPPINES,0,0,25,9250
SA,SAUDI ARABIA,49500,2047372,321750,13188866
SG,SINGAPORE,3916700,186481700,20974918,978053621
ZA,SOUTH AFRICA,0,0,74250,2752999
ES,SPAIN,24750,2234586,99050,9090780
CH,SWITZERLAND,0,0,1250,236622
TW,"TAIWAN, PROVINCE OF CHINA",6500,533266,516000,26133581
TH,THAILAND,0,0,6200,278698
AE,UNITED ARAB EMIRATES,321750,13802036,1978250,82634123
GB,UNITED KINGDOM,15,8648,1065,428765
US,UNITED STATES,19740,2137300,268649,19553087
VN,VIETNAM,6,1356,6,1356
SUM,SUM,6070549,317539848,30287180,1525450864
