"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2016', 'Quantity')","('Jun 2016', 'CIF (Baht)')","('Jan - Jun 2016', 'Quantity')","('Jan - Jun 2016', 'CIF (Baht)')"
AU,AUSTRALIA,20000,1948846,20599,2024576
BE,BELGIUM,49350,2351352,99300,5177024
CN,CHINA,44000,3284954,375000,28778152
FI,FINLAND,1375,100980,1375,100980
ID,INDONESIA,41675,3859051,191400,17609932
IL,ISRAEL,0,0,5980,479291
JP,JAPAN,643950,35992891,3600474,194914425
KR,"KOREA,REPUBLIC OF",53400,2639971,150850,7454161
KW,KUWAIT,173250,7385826,1014750,40393007
MY,MALAYSIA,968000,42606645,4662309,200831516
NL,NETHERLANDS,89500,4481677,561750,26721120
PH,PHILIPPINES,0,0,17000,729244
QA,QATAR,306000,13099908,1734100,68586301
SA,SAUDI ARABIA,2103623,90374632,16301051,663824021
SG,SINGAPORE,247500,12069126,2002184,87743587
ES,SPAIN,24750,1241853,27500,1522704
TH,THAILAND,1622,346260,17622,984871
AE,UNITED ARAB EMIRATES,1151600,49056637,5088325,210680181
GB,UNITED KINGDOM,0,0,5,2851
US,UNITED STATES,155110,9822591,788406,50697553
SUM,SUM,6074705,280663200,36659980,1609255497
