"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2019', 'Quantity')","('Nov 2019', 'CIF (Baht)')","('Jan - Nov 2019', 'Quantity')","('Jan - Nov 2019', 'CIF (Baht)')"
CA,CANADA,0,0,60,33170
CN,CHINA,1,790,15533,1112796
FR,FRANCE,13255,1594071,75572,5944412
DE,GERMANY,700,103780,6929,1122629
IN,INDIA,100,13555,56577,2643733
IT,ITALY,0,0,675,164888
JP,JAPAN,86760,3349424,1006911,44658265
KR,"KOREA,REPUBLIC OF",74363,3146453,1790203,86062221
MY,MALAYSIA,0,0,1000,264729
RU,RUSSIAN FEDERATION,8250,1253803,26250,4394171
TW,"TAIWAN, PROVINCE OF CHINA",0,0,0,5213
GB,UNITED KINGDOM,1,957,1,957
US,UNITED STATES,17187,872246,17920,1080258
SUM,SUM,200617,10335079,2997631,147487442
