"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2013', 'Quantity')","('Oct 2013', 'CIF (Baht)')","('Jan - Oct 2013', 'Quantity')","('Jan - Oct 2013', 'CIF (Baht)')"
AU,AUSTRALIA,72000,3968306,544975,27323358
AT,AUSTRIA,202,193203,1116,1474182
BE,BELGIUM,2000,258099,38601,4615084
CA,CANADA,0,0,15288,2347047
CN,CHINA,101340,5622159,1487676,67151124
EC,ECUADOR,0,0,28,22799
FR,FRANCE,1,328,197435,15647905
DE,GERMANY,89775,17929866,459586,79740206
HK,HONG KONG,0,0,11000,860454
IN,INDIA,0,0,6025,312064
ID,INDONESIA,1350,120131,243378,18953544
IE,IRELAND,0,0,100,33009
IL,ISRAEL,1200,204591,4800,784310
IT,ITALY,510,60291,24238,4349032
JP,JAPAN,218211,47468130,2046876,397840358
KR,"KOREA,REPUBLIC OF",249776,17167764,2580394,167500690
MY,MALAYSIA,107200,8625545,1428212,126252077
NL,NETHERLANDS,153841,17502422,1181644,123838648
PG,PAPUA NEW GUINEA,0,0,32,16384
PH,PHILIPPINES,0,0,50,64855
SA,SAUDI ARABIA,321750,15509371,2699125,122587812
SG,SINGAPORE,17600,2590977,660363,68103593
ES,SPAIN,0,0,61875,4961115
CH,SWITZERLAND,0,0,4000,2894266
TW,"TAIWAN, PROVINCE OF CHINA",123505,6121041,818801,51732608
TH,THAILAND,50,21793,50,21793
TR,TÜRKIYE,0,0,20,39394
GB,UNITED KINGDOM,27240,4616199,506948,55218712
US,UNITED STATES,44468,7248747,513115,74954106
VN,VIETNAM,0,0,185,124190
SUM,SUM,1532019,155228963,15535936,1419764719
