"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2018', 'Quantity')","('Jul 2018', 'CIF (Baht)')","('Jan - Jul 2018', 'Quantity')","('Jan - Jul 2018', 'CIF (Baht)')"
CA,CANADA,0,0,9,32437
CN,CHINA,0,0,5016,343747
DE,GERMANY,0,0,24,22270
IN,INDIA,0,0,208001,8871034
JP,JAPAN,0,0,59291,6126028
KR,"KOREA,REPUBLIC OF",14000,597783,14000,597783
MY,MALAYSIA,200,83223,800,301082
NL,NETHERLANDS,0,0,0,5110
NO,NORWAY,0,0,350,20708
SA,SAUDI ARABIA,49500,1886871,407000,15649351
TW,"TAIWAN, PROVINCE OF CHINA",0,0,18145,1370215
GB,UNITED KINGDOM,0,0,1,12962
US,UNITED STATES,0,0,54013,4213368
SUM,SUM,63700,2567877,766650,37566095
