"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2013', 'Quantity')","('Jun 2013', 'CIF (Baht)')","('Jan - Jun 2013', 'Quantity')","('Jan - Jun 2013', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,32936,1473777
BE,BELGIUM,115650,6429904,451950,25318934
BR,BRAZIL,0,0,5500,409351
CN,CHINA,52505,2684275,278855,13019942
FR,FRANCE,8250,937813,50925,4483269
DE,GERMANY,13730,14990373,259865,58446322
IN,INDIA,0,0,50,294
ID,INDONESIA,35000,1619216,183500,8223180
IT,ITALY,0,0,2750,535328
JP,JAPAN,1544125,85790565,10542569,572687054
KR,"KOREA,REPUBLIC OF",705,120432,169610,8317025
KW,KUWAIT,668250,27968561,3440250,146169555
LU,LUXEMBOURG,0,0,300,89247
MY,MALAYSIA,192525,8405851,2655025,116656187
NL,NETHERLANDS,0,0,700,184375
QA,QATAR,3610188,162651122,18130667,823570360
RU,RUSSIAN FEDERATION,0,0,22,12342
SA,SAUDI ARABIA,1985750,84936923,11979250,518662092
SG,SINGAPORE,1200530,52056804,8974846,406348948
SE,SWEDEN,0,0,11000,811937
TW,"TAIWAN, PROVINCE OF CHINA",300,9204,225300,10603447
TH,THAILAND,176000,7375081,215322,9461112
AE,UNITED ARAB EMIRATES,1196700,50551757,5502600,234506597
GB,UNITED KINGDOM,0,0,9999,2072329
US,UNITED STATES,575,99614,1924000,91071684
VN,VIETNAM,0,0,200,17392
SUM,SUM,10800783,506627495,65047991,3053152080
