"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2018', 'Quantity')","('Mar 2018', 'CIF (Baht)')","('Jan - Mar 2018', 'Quantity')","('Jan - Mar 2018', 'CIF (Baht)')"
BE,BELGIUM,102125,4639933,201175,8995360
CN,CHINA,132000,9291117,143000,10140799
FR,FRANCE,0,0,42850,3418410
IN,INDIA,0,0,76800,3225166
ID,INDONESIA,32775,1937923,132225,10293377
JP,JAPAN,88474,8818551,317474,26274447
KR,"KOREA,REPUBLIC OF",41750,1983359,292650,13110404
KW,KUWAIT,173250,6668653,470250,17660468
MY,MALAYSIA,104400,4532831,582075,25069676
NL,NETHERLANDS,0,0,20000,882197
QA,QATAR,612000,23052800,1173000,44468131
SA,SAUDI ARABIA,2979000,117184718,9205500,360644442
SG,SINGAPORE,1017700,42163165,2831625,117688901
ES,SPAIN,20000,875017,31000,1355901
AE,UNITED ARAB EMIRATES,739950,29739349,2037225,81951642
US,UNITED STATES,64005,3307092,308215,14849056
VN,VIETNAM,0,0,5,946
SUM,SUM,6107429,254194508,17865069,740029323
