"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2015', 'Quantity')","('Jan 2015', 'CIF (Baht)')","('Jan - Jan 2015', 'Quantity')","('Jan - Jan 2015', 'CIF (Baht)')"
BE,BELGIUM,50500,3408881,50500,3408881
CN,CHINA,21300,4512297,21300,4512297
FR,FRANCE,75787,5015885,75787,5015885
DE,GERMANY,2100,401735,2100,401735
HK,HONG KONG,2000,160642,2000,160642
IN,INDIA,36000,2086935,36000,2086935
ID,INDONESIA,10900,938278,10900,938278
IT,ITALY,50,22704,50,22704
JP,JAPAN,1095175,79138340,1095175,79138340
KR,"KOREA,REPUBLIC OF",530125,27756731,530125,27756731
MY,MALAYSIA,19000,931355,19000,931355
NL,NETHERLANDS,144375,9873939,144375,9873939
SA,SAUDI ARABIA,371250,16923107,371250,16923107
SG,SINGAPORE,4438650,246316694,4438650,246316694
TW,"TAIWAN, PROVINCE OF CHINA",241000,11397683,241000,11397683
TH,THAILAND,17550,958236,17550,958236
AE,UNITED ARAB EMIRATES,99000,4022256,99000,4022256
GB,UNITED KINGDOM,8000,793479,8000,793479
US,UNITED STATES,86157,9417801,86157,9417801
VN,VIETNAM,22000,1213733,22000,1213733
SUM,SUM,7270919,425290711,7270919,425290711
