"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2014', 'Quantity')","('Nov 2014', 'CIF (Baht)')","('Jan - Nov 2014', 'Quantity')","('Jan - Nov 2014', 'CIF (Baht)')"
BE,BELGIUM,12000,1246855,223800,22944477
CN,CHINA,24000,2006657,120000,9636789
FI,FINLAND,0,0,1375,106630
JP,JAPAN,0,0,517660,36964389
KR,"KOREA,REPUBLIC OF",10000,941635,127773,9402536
SG,SINGAPORE,496000,26293149,8666950,453724109
AE,UNITED ARAB EMIRATES,0,0,619500,33488167
GB,UNITED KINGDOM,0,0,475,47242
US,UNITED STATES,392122,29686297,1069962,80667270
SUM,SUM,934122,60174593,11347495,646981609
