"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2016', 'Quantity')","('Jan 2016', 'CIF (Baht)')","('Jan - Jan 2016', 'Quantity')","('Jan - Jan 2016', 'CIF (Baht)')"
AT,AUSTRIA,1375,36280,1375,36280
BE,BELGIUM,66000,5902686,66000,5902686
KH,CAMBODIA,5,1814,5,1814
CN,CHINA,51200,5245119,51200,5245119
FI,FINLAND,74250,3807201,74250,3807201
DE,GERMANY,222436,15867907,222436,15867907
IN,INDIA,25,5407,25,5407
JP,JAPAN,414727,25224448,414727,25224448
KR,"KOREA,REPUBLIC OF",173021,9910252,173021,9910252
KW,KUWAIT,618750,26336138,618750,26336138
MY,MALAYSIA,3298908,144251467,3298908,144251467
NL,NETHERLANDS,201160,11361557,201160,11361557
PL,POLAND,8000,1322165,8000,1322165
QA,QATAR,1129500,46774572,1129500,46774572
SA,SAUDI ARABIA,2703700,110841556,2703700,110841556
SG,SINGAPORE,2603000,119657077,2603000,119657077
TW,"TAIWAN, PROVINCE OF CHINA",750,153898,750,153898
AE,UNITED ARAB EMIRATES,110500,5050962,110500,5050962
US,UNITED STATES,183586,15338029,183586,15338029
VN,VIETNAM,3200,483608,3200,483608
SUM,SUM,11864093,547572143,11864093,547572143
