"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2013', 'Quantity')","('Aug 2013', 'CIF (Baht)')","('Jan - Aug 2013', 'Quantity')","('Jan - Aug 2013', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,0,5500
BR,BRAZIL,0,0,1660,289636
CN,CHINA,0,0,14100,1274173
FR,FRANCE,21841,1677180,87870,8219507
DE,GERMANY,4808,1396285,17396,4886846
IN,INDIA,0,0,215,20455
JP,JAPAN,44485,3836872,344028,28756145
KR,"KOREA,REPUBLIC OF",173060,12116293,1628675,102661333
MY,MALAYSIA,0,0,0,2500
NL,NETHERLANDS,0,26151,0,26151
RU,RUSSIAN FEDERATION,0,0,10125,2038052
TW,"TAIWAN, PROVINCE OF CHINA",0,0,1000,91764
US,UNITED STATES,163,73889,3159,954271
SUM,SUM,244357,19126670,2108228,149226333
