"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2016', 'Quantity')","('Apr 2016', 'CIF (Baht)')","('Jan - Apr 2016', 'Quantity')","('Jan - Apr 2016', 'CIF (Baht)')"
BE,BELGIUM,0,0,49950,2825672
CN,CHINA,108000,8053194,329000,25327998
ID,INDONESIA,22700,2002294,124225,11450821
IL,ISRAEL,0,0,5980,479291
JP,JAPAN,343190,16265514,2066074,110564775
KR,"KOREA,REPUBLIC OF",0,0,61800,3186979
KW,KUWAIT,173250,6576841,668250,25821496
MY,MALAYSIA,1193500,49670401,2251309,93296733
NL,NETHERLANDS,143750,6689752,427500,19972803
PH,PHILIPPINES,0,0,17000,729244
QA,QATAR,0,0,1122100,42723089
SA,SAUDI ARABIA,2227547,87597189,10039428,401583728
SG,SINGAPORE,548700,23673721,1504184,64543928
TH,THAILAND,16000,638611,16000,638611
AE,UNITED ARAB EMIRATES,793250,32371997,3169450,128068968
GB,UNITED KINGDOM,0,0,5,2851
US,UNITED STATES,59290,4197819,534287,33298685
SUM,SUM,5629177,237737333,22386542,964515672
