"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2021', 'Quantity')","('Feb 2021', 'CIF (Baht)')","('Jan - Feb 2021', 'Quantity')","('Jan - Feb 2021', 'CIF (Baht)')"
CA,CANADA,0,0,200,25277
CN,CHINA,27000,1064161,34350,1484155
HK,HONG KONG,25500,992571,25500,992571
JP,JAPAN,2758,340822,6774,713575
KR,"KOREA,REPUBLIC OF",8000,854036,31600,2309792
NL,NETHERLANDS,27500,1817970,49500,2803416
SA,SAUDI ARABIA,96750,3496683,195750,6499882
SG,SINGAPORE,1926420,89284634,3915120,173696954
ES,SPAIN,44000,2555104,52800,3055270
AE,UNITED ARAB EMIRATES,853250,28611617,1298750,42755070
US,UNITED STATES,1080925,39699727,1770425,64145246
SUM,SUM,4092103,168717325,7380769,298481208
