"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2017', 'Quantity')","('May 2017', 'CIF (Baht)')","('Jan - May 2017', 'Quantity')","('Jan - May 2017', 'CIF (Baht)')"
CN,CHINA,25500,1720894,239102,13446898
DE,GERMANY,5,3816,12005,1237929
HK,HONG KONG,0,0,12736,613970
IT,ITALY,0,0,1375,396970
JP,JAPAN,20031,2245520,213660,24533462
KR,"KOREA,REPUBLIC OF",0,0,57600,3779050
SG,SINGAPORE,0,0,83000,5589333
SE,SWEDEN,26600,2695868,26600,2695868
AE,UNITED ARAB EMIRATES,0,0,26000,1221467
US,UNITED STATES,635,79572,86272,5526261
SUM,SUM,72771,6745670,758350,59041208
