"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2017', 'Quantity')","('Apr 2017', 'CIF (Baht)')","('Jan - Apr 2017', 'Quantity')","('Jan - Apr 2017', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,400,118151
AT,AUSTRIA,458,463587,658,713212
BE,BELGIUM,2000,279348,2224,434622
BR,BRAZIL,0,0,382,134553
CA,CANADA,2513,478088,7558,1610075
CN,CHINA,172700,8265407,535173,26914266
FR,FRANCE,47495,3048387,149967,10857865
DE,GERMANY,382,151953,26948,6972334
IN,INDIA,15000,1350248,70350,4462787
ID,INDONESIA,0,0,24150,2287424
IT,ITALY,680,85177,2892,377996
JP,JAPAN,257870,35620187,956771,135831971
KR,"KOREA,REPUBLIC OF",119075,8316286,999726,57620675
LU,LUXEMBOURG,0,0,20,13769
MY,MALAYSIA,131417,13229620,417282,40965894
NL,NETHERLANDS,221800,19844404,432460,38143785
NZ,NEW ZEALAND,120,92621,220,174581
SA,SAUDI ARABIA,405750,16889165,2172950,84962530
SG,SINGAPORE,78580,10624960,290055,36885121
ES,SPAIN,10175,906006,21235,1919249
CH,SWITZERLAND,0,0,0,972
TW,"TAIWAN, PROVINCE OF CHINA",420060,17871541,467912,22511624
GB,UNITED KINGDOM,0,0,13593,1732934
US,UNITED STATES,85505,12417501,715849,128152924
VN,VIETNAM,6000,500732,33821,2813311
SUM,SUM,1977580,150435218,7342596,606612625
