"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2015', 'Quantity')","('May 2015', 'CIF (Baht)')","('Jan - May 2015', 'Quantity')","('Jan - May 2015', 'CIF (Baht)')"
BE,BELGIUM,0,0,120000,12485920
CA,CANADA,0,0,12701,584044
CN,CHINA,0,0,24000,1869816
IT,ITALY,0,0,50,21948
JP,JAPAN,0,0,22000,1651630
KR,"KOREA,REPUBLIC OF",0,0,80777,4461960
SG,SINGAPORE,858000,38823295,3734000,159092554
TW,"TAIWAN, PROVINCE OF CHINA",0,0,18000,1377000
AE,UNITED ARAB EMIRATES,13000,647127,249600,12163043
US,UNITED STATES,20320,958665,138410,9535938
SUM,SUM,891320,40429087,4399538,203243853
