"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2017', 'Quantity')","('Mar 2017', 'CIF (Baht)')","('Jan - Mar 2017', 'Quantity')","('Jan - Mar 2017', 'CIF (Baht)')"
AU,AUSTRALIA,900,532433,45268,2537745
AT,AUSTRIA,60,26639,3695,565128
BE,BELGIUM,198000,9200638,395950,18476151
CA,CANADA,0,15377,0,15377
CN,CHINA,2210838,111051571,5529460,274372602
EG,EGYPT,50,18964,50,18964
FI,FINLAND,46750,2706432,70125,4070695
FR,FRANCE,0,0,32250,1130923
DE,GERMANY,12751,2659841,44212,10124061
HU,HUNGARY,50,20767,50,20767
IN,INDIA,614225,21870323,1064919,38194176
ID,INDONESIA,36350,3509978,61703,6503514
IL,ISRAEL,24000,1672014,72000,5072828
IT,ITALY,1015,87347,13015,1649927
JP,JAPAN,826064,53158040,2609422,164674441
KR,"KOREA,REPUBLIC OF",1881774,93296654,5437668,268837998
MY,MALAYSIA,73656,9981117,267046,35731216
NL,NETHERLANDS,49500,4528373,159500,15733291
NZ,NEW ZEALAND,0,0,697,795266
RU,RUSSIAN FEDERATION,0,0,180,91460
SA,SAUDI ARABIA,5813410,223473662,14647180,559795540
SG,SINGAPORE,1501435,76977470,3808873,191852445
SK,SLOVAKIA,0,0,9700,566710
ZA,SOUTH AFRICA,0,0,99000,3715332
ES,SPAIN,11000,1001037,22000,2027658
TW,"TAIWAN, PROVINCE OF CHINA",72850,3515619,193282,11325353
TH,THAILAND,11500,628271,42500,2328355
TR,TÜRKIYE,0,0,10,22684
UA,UKRAINE,0,0,25050,995767
AE,UNITED ARAB EMIRATES,670025,27268774,1140675,46343258
US,UNITED STATES,118952,6125851,392137,22389978
VN,VIETNAM,85946,3887318,535509,23219134
SUM,SUM,14261101,657214510,36723126,1713198744
