"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2016', 'Quantity')","('Jan 2016', 'CIF (Baht)')","('Jan - Jan 2016', 'Quantity')","('Jan - Jan 2016', 'CIF (Baht)')"
AT,AUSTRIA,75,22001,75,22001
BE,BELGIUM,20000,987634,20000,987634
BR,BRAZIL,0,3998,0,3998
CA,CANADA,1500,419434,1500,419434
CN,CHINA,509250,24137872,509250,24137872
EG,EGYPT,388,34830,388,34830
DE,GERMANY,305,153693,305,153693
IN,INDIA,7900,718189,7900,718189
IT,ITALY,1700,684543,1700,684543
JP,JAPAN,379645,36966937,379645,36966937
KR,"KOREA,REPUBLIC OF",128395,6972400,128395,6972400
MY,MALAYSIA,81025,5095176,81025,5095176
QA,QATAR,510000,21921996,510000,21921996
SA,SAUDI ARABIA,89550,4014213,89550,4014213
SG,SINGAPORE,1343104,76169718,1343104,76169718
ES,SPAIN,8800,739046,8800,739046
TW,"TAIWAN, PROVINCE OF CHINA",434809,20170055,434809,20170055
TH,THAILAND,121,44745,121,44745
UA,UKRAINE,4350,552359,4350,552359
AE,UNITED ARAB EMIRATES,421300,17378078,421300,17378078
GB,UNITED KINGDOM,1000,266293,1000,266293
US,UNITED STATES,1503733,114695065,1503733,114695065
VN,VIETNAM,60,12614,60,12614
SUM,SUM,5447010,332160889,5447010,332160889
