"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2019', 'Quantity')","('Nov 2019', 'CIF (Baht)')","('Jan - Nov 2019', 'Quantity')","('Jan - Nov 2019', 'CIF (Baht)')"
BE,BELGIUM,0,0,5500,831101
CA,CANADA,0,0,25,10775
CN,CHINA,1000,95689,58592,3837203
DE,GERMANY,0,0,1000,246495
JP,JAPAN,11500,864698,138127,10305873
KP,KOREA DPR,0,0,50,12505
KR,"KOREA,REPUBLIC OF",0,0,23207,1608623
MY,MALAYSIA,24000,816968,144200,5102375
NL,NETHERLANDS,0,0,471775,20697864
SA,SAUDI ARABIA,47250,1773838,864000,30752550
SG,SINGAPORE,1713800,70240248,19735665,883434695
ES,SPAIN,0,0,806195,42702405
AE,UNITED ARAB EMIRATES,718250,20864247,4423725,145283142
US,UNITED STATES,776850,28063086,2294023,94751638
SUM,SUM,3292650,122718774,28966084,1239577244
